ID,ID da Roupa,Idade,Título,Texto da Avaliação,Avaliação,Indicação de Recomendação,Contagem de Feedbacks Positivos,Nome da Divisão,Nome do Departamento,Nome da Classe
0,767,33,,"Absolutamente maravilhoso - sedoso, sexy e confortável",4,1,0,Íntimos,Íntima,Íntimos
1,1080,34,,"Amei esse vestido! é tão lindo. aconteceu de eu encontrá-lo em uma loja e estou feliz por ter encontrado, porque nunca o teria encomendado online porque é pequeno. comprei um petite e tenho 5'8 "". Adoro o comprimento em mim - bate um pouco abaixo do joelho. Definitivamente seria um verdadeiro midi para alguém que é realmente pequeno.",5,1,4,Geral,Vestidos,Vestidos
2,1077,60,Algumas falhas importantes de design,"Eu tinha grandes esperanças neste vestido e realmente queria que funcionasse para mim. Inicialmente pedi o petite small (meu tamanho normal), mas achei escandalosamente pequeno. tão pequeno que não consegui fechar o zíper! eu reordenei em petite Medium, o que foi ótimo. no geral, a metade superior era confortável e se ajustava bem, mas a metade inferior tinha uma camada inferior muito justa e várias camadas superiores (líquidas) um tanto baratas. na minha opinião, uma grande falha de design foi a rede sobre a camada costurada diretamente no zíper - c",3,0,0,Geral,Vestidos,Vestidos
3,1049,50,Minha compra favorita!,"Eu amo, amo, amo esse macacão. é divertido, sedutor e fabuloso! toda vez que uso, só recebo ótimos elogios!",5,1,0,Geral Petite,Partes de Baixo,Calças
4,847,47,Camisa lisonjeira,"Esta camisa agrada a todos devido ao laço frontal ajustável. tem o comprimento perfeito para usar com leggings e não tem mangas, por isso combina bem com qualquer cardigã. adorei essa camisa!!!",5,1,6,Geral,Partes de Cima,Blusas
5,1080,49,Não para os muito pequenos,"Adoro vestidos da Tracy Reese, mas esse não é para os mais pequenos. tenho pouco menos de um metro e meio de altura e geralmente uso um 0p nesta marca. esse vestido era muito bonito fora da embalagem, mas é muito vestido. a saia é longa e muito cheia, então sobrecarregou meu pequeno corpo. conhecendo as alterações, encurtar e estreitar a saia prejudicaria o embelezamento da vestimenta. adoro a cor e a ideia do estilo, mas simplesmente não funcionou em mim. devolvi este vestido.",2,0,4,Geral,Vestidos,Vestidos
6,858,39,Cagrcoal brilha divertido,"Adicionei isso na minha cesta no último minuto para ver como ficaria pessoalmente. (retirada na loja). Eu escolhi a cor mais escura só porque sou muito pálida :-) A cor é realmente linda, e descobri que combinou perfeitamente com tudo o que eu estava experimentando. é um pouco folgado para mim e o xs é do tamanho msallet (que chatice, não é pequeno). mas decidi mantê-lo, porque como eu disse, ele combinava com tudo. meus ejans, calças e as 3 saias que eu estava experimentando (das quais guardei todas) ops.",5,1,1,Geral Petite,Partes de Cima,Tricôs
7,858,39,"Shimmer, surpreendentemente combina com muitos","Encomendei isso em carbono para retirada na loja, e tinha um monte de coisas (como sempre) para experimentar e usei esse top para combinar (saias e calças). tudo foi junto. a cor é muito linda, carvão com brilho, e combinava bem com saias lápis, calças flare, etc. minha única reclamação é que é um pouco grande, as mangas são longas e não fica petite. também um pouco folgado para mim, mas nada de xxs... então guardei e vou decidir depois já que a cor clara já está esgotada no tamanho menor...",4,1,4,Geral Petite,Partes de Cima,Tricôs
8,1077,24,Lisonjeiro,"Eu amo esse vestido. Eu normalmente pego um xs, mas ele fica um pouco apertado no busto, então pedi um tamanho maior. muito lisonjeiro e feminino com o estilo habitual do varejista.",5,1,0,Geral,Vestidos,Vestidos
9,1077,34,Um vestido tão divertido!,"Tenho 1,77 m e 55 kg. Encomendei o s petite para ter certeza de que o comprimento não era muito longo. Normalmente uso um xs regular em vestidos de varejo. se você for menos peituda (xícara 34b ou menor), um s petite vai caber perfeitamente em você (confortável, mas não apertado). Adoro poder vesti-lo para uma festa ou para o trabalho. Adoro que o tule seja mais longo que o tecido por baixo.",5,1,0,Geral,Vestidos,Vestidos
10,1077,53,O vestido parece feito de material barato,"O vestido é pequeno, especialmente onde passa a área do zíper. Encomendei o sp que normalmente cabe em mim e ficou muito apertado! o material na parte superior parece muito barato e apenas puxá-lo pode rasgar o tecido. bastante decepcionada, pois seria meu vestido de Natal deste ano! escusado será dizer que vai voltar.",3,0,14,Geral,Vestidos,Vestidos
11,1095,39,,Esse vestido é uma perfeição! tão bonito e lisonjeiro.,5,1,2,Geral Petite,Vestidos,Vestidos
12,1095,53,Perfeito!!!,"Cada vez mais, confio nas avaliações escritas por compradores experientes antes de mim e, na maioria das vezes, eles estão certos em sua estimativa do produto. no caso deste vestido - se não fosse pelas críticas - duvido que teria tentado isso. o vestido é lindamente feito, forrado e lembra a qualidade do antigo varejista. é forrado com tecido sólido de cor pervinca que combina com a estampa externa do tecido. tts e muito ajustado ao formato. cai logo acima do joelho e não livra",5,1,2,Geral Petite,Vestidos,Vestidos
13,767,44,Corre grande,"Comprei os xs pretos para usar por baixo do vestido midi larkspur porque eles não se preocuparam em forrar a parte da saia (grrrrrrrrrrr).
minhas estatísticas são 34a-28/29-36 e o ​​xs se ajusta muito bem ao redor do peito e fica fluido na minha metade inferior, então eu diria que está grande.
as alças são muito bonitas e poderia facilmente ser roupa de dormir também.
tenho 5'6 ""e ficou logo abaixo dos joelhos.",5,1,0,Íntimos,Íntima,Íntimos
14,1077,50,Lindo vestido de festa com alguns problemas,"Esta é uma boa escolha para reuniões de férias. eu gosto que o comprimento roça o joelho, por isso é conservador o suficiente para reuniões relacionadas ao escritório. o tamanho pequeno me cabe bem - geralmente tenho tamanho 2/4 e busto pequeno. na minha opinião é pequeno e quem tem busto maior com certeza terá que aumentar o tamanho (mas talvez a cintura fique muito grande). o problema desse vestido é a qualidade. os tecidos são terríveis. o delicado tecido tipo rede na camada superior da saia ficou preso no zíper",3,1,1,Geral,Vestidos,Vestidos
15,1065,47,"Legal, mas não para o meu corpo","Tirei-os da embalagem e queria tanto que coubessem, mas percebi antes de colocá-los que não caberiam. estes são para uma figura de ampulheta. sou mais reto para cima e para baixo. a cintura era muito pequena para o formato do meu corpo e mesmo se eu avaliasse, eu poderia dizer que eles ainda seriam justos na cintura e muito largos nos quadris - para mim. Dito isto, eles são muito legais. tecido resistente, semelhante ao linho, cor bonita, bem feito. espero que façam alguém muito feliz!",4,1,3,Geral,Partes de Baixo,Calças
16,1065,34,Você precisa ter pelo menos estatura média ou mais alto,"Material e cor são bons. a abertura das pernas é muito grande. tenho 5'1 (100 #) e o comprimento me atinge logo acima do tornozelo. com uma perna abrindo do tamanho da minha cintura e bainha acima do tornozelo, e pregas frontais para me deixar fofa, acho que você pode imaginar que não é um look lisonjeiro. se você tiver pelo menos estatura média ou mais alto, isso pode ficar bem em você.",3,1,2,Geral,Partes de Baixo,Calças
17,853,41,Fica ótimo com calça branca,Arrisquei essa blusa e que bom que fiz. não fiquei louca com a forma como a blusa é fotografada na modelo. combinei com calça branca e funcionou perfeitamente. nítido e limpo é como eu o descreveria. lava bem. cabe muito bem. cortina é perfeita. use para dentro ou para fora - não pode dar errado.,5,1,0,Geral,Partes de Cima,Blusas
18,1120,32,Super fofo e aconchegante,"Um casaco lisonjeiro e super aconchegante. funcionará bem em dias frios e secos e ficará bem com jeans ou uma roupa mais elegante. tenho 5' 5'', cerca de 135 e o pequeno cabe perfeitamente.",5,1,0,Geral,Jaquetas,Roupas Externas
